Name:string,Calls:ulong,Excl Count Min:ulong,Excl Count Max:ulong,Excl Count Average,Excl Count Total:float:decimal,Incl Count Min:ulong,Incl Count Max:ulong,Incl Count Average,Incl Count Total:float:decimal,Filename:string,Line Number:uinteger,Start Address:uinteger,
"main(int, char * *)",1,-,-,40.000000,40.000000,-,-,4277765557.000000,4277765557.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\x264.c,170,2409827596,
"Encode(struct x264_param_t *, struct cli_opt_t *)",1,19166,19166,19166.000000,19166.000000,3905197750,3905197750,3905197750.000000,3905197750.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\x264.c,1316,2409826500,
"Encode_frame(struct x264_t *, void *, struct x264_picture_t *)",301,70,195,111.328904,33510.000000,4952,23809415,12881563.976744,3877350757.000001,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\x264.c,1272,2409826148,
"x264_encoder_encode(struct x264_t *, struct x264_nal_t * *, int *, struct x264_picture_t *, struct x264_picture_t *)",301,70,2254,2240.624585,674428.000000,70,23746200,12870398.016611,3873989803.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\encoder.c,1141,2409715824,
x264_slice_write(struct x264_t *),300,17053,19907,17938.740000,5381622.000000,2692703,19260097,9194772.300000,2758431690.000002,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\encoder.c,911,2409712912,
x264_macroblock_analyse(struct x264_t *),29700,136,593,214.108081,6359010.000000,17790,695483,78101.654276,2319619132.000001,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\analyse.c,1461,2409700500,
"x264_me_search_ref(struct x264_t *, struct x264_me_t *, int[2] *, int, int *)",48484,804,1392,966.198684,46845177.000000,14172,110687,30852.545190,1495854800.999999,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\me.c,63,2409844276,
"refine_subpel(struct x264_t *, struct x264_me_t *, int, int)",59835,449,1723,947.380480,56686511.000000,5251,100458,23741.316370,1420561664.999995,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\me.c,320,2409841504,
"pixel_satd_wxh(unsigned char *, int, unsigned char *, int, int, int)",1199053,211,2911,847.865103,1016635194.999981,211,2911,847.865103,1016635194.999981,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\pixel1.c,130,2409786732,
"x264_frame_filter(int, struct x264_frame_t *)",300,4038,4038,4038.000000,1211400.000000,2260638,2260638,2260638.000000,678191400.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\mc1.c,429,2409872536,
"x264_mb_analyse_inter_p8x8(struct x264_t *, struct x264_mb_analysis_t *)",6816,837,837,837.000000,5704992.000000,58519,129906,82584.656543,562897018.999999,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\analyse.c,667,2409672400,
"x264_macroblock_probe_skip(struct x264_t *, int)",28050,203,2457,2142.617112,60100410.000000,2886,19304,14868.967166,417074529.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\macroblock.c,866,2409750788,
"x264_mb_analyse_inter_p16x16(struct x264_t *, struct x264_mb_analysis_t *)",6816,273,273,273.000000,1860768.000000,45181,111292,60408.168134,411742074.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\analyse.c,610,2409671412,
"get_ref(unsigned char * *, int, unsigned char *, int *, int, int, int, int)",516747,35,2584,767.503817,396605294.999995,35,2584,767.503817,396605294.999995,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\mc1.c,308,2409873824,
null(),1,-,-,50.000000,50.000000,-,-,372559786.000000,372559786.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\dm6446cfg.s62,2180,2410059688,
"pixel_satd_16x16(unsigned char *, int, unsigned char *, int)",113474,20,20,20.000000,2269480.000000,2931,2931,2931.000000,332592294.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\pixel1.c,181,2409787700,
"pixel_satd_8x8(unsigned char *, int, unsigned char *, int)",370140,20,20,20.000000,7402800.000000,779,779,779.000000,288339060.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\pixel1.c,184,2409787584,
"x264_mb_analyse_inter_p8x16(struct x264_t *, struct x264_mb_analysis_t *)",3601,558,558,558.000000,2009358.000000,51907,122211,77953.630658,280711024.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\analyse.c,760,2409679400,
"x264_mb_analyse_inter_p16x8(struct x264_t *, struct x264_mb_analysis_t *)",3601,549,549,549.000000,1976949.000000,48401,108873,72108.846432,259663956.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\analyse.c,719,2409678072,
"mc_hc(unsigned char *, int, unsigned char *, int)",36000,6894,6894,6894.000000,248184000.000000,6894,6894,6894.000000,248184000.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\mc1.c,118,2409877536,
x264_macroblock_encode(struct x264_t *),29700,52,3017,712.205253,21152496.000000,1770,32617,8003.810337,237713166.999998,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\macroblock.c,584,2409757384,
"x264_frame_deblocking_filter(struct x264_t *, int)",300,724530,1533852,767627.866667,230288360.000000,724530,1533852,767627.866667,230288360.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\frame1.c,637,2409854404,
"motion_compensation_chroma(unsigned char *, int, unsigned char *, int, int, int, int, int)",596430,262,563,382.204356,227958143.999999,262,563,382.204356,227958143.999999,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\mc1.c,343,2409872864,
"mc_hv(unsigned char *, int, unsigned char *, int)",36000,6142,6142,6142.000000,221112000.000000,6142,6142,6142.000000,221112000.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\mc1.c,104,2409875972,
"mc_hh(unsigned char *, int, unsigned char *, int)",36000,5769,5769,5769.000000,207684000.000000,5769,5769,5769.000000,207684000.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\mc1.c,90,2409874180,
"x264_me_refine_qpel(struct x264_t *, struct x264_me_t *)",11351,28,28,28.000000,317828.000000,5279,60264,16657.883006,189083630.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\me.c,288,2409852464,
"quant_4x4(short[4] *, int[4][4] *, int, int)",772733,208,208,208.000000,160728464.000000,242,243,242.016834,187014394.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\macroblock.c,166,2409748952,
"x264_mb_analyse_intra(struct x264_t *, struct x264_mb_analysis_t *, int)",7014,387,11383,1838.349301,12894182.000000,14598,83768,23064.938124,161777476.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\analyse.c,399,2409687976,
